,Description,Data.Carbohydrate,Data.Protein,Data.Fat.Total Lipid,Data.Calories
71,"Yogurt, Greek, with oats",22.38,8.9,4.29,163.73
72,"Yogurt, liquid",11.81,3.71,1.09,71.89
73,"Chipotle dip, yogurt based",3.33,7.93,15.99,188.95
74,"Dill dip, yogurt based",3.76,8.16,16.03,191.95
75,"Onion dip, yogurt based",4.07,6.82,12.88,159.48
76,"Ranch dip, yogurt based",4.13,8.48,16.09,195.25
77,"Spinach dip, yogurt based",3.6,7.02,12.94,158.94
78,Tzatziki dip,3.95,5.35,6.31,93.99
79,"Vegetable dip, yogurt based",3.76,8.16,16.03,191.95
80,"Yogurt parfait, low fat, with fruit",15.86,3.36,1.01,85.97
81,"Frozen yogurt, NFS",21.6,3.0,3.6,130.8
82,"Frozen yogurt, vanilla",21.6,3.0,3.6,130.8
83,"Frozen yogurt, chocolate",21.6,3.0,3.6,130.8
84,"Frozen yogurt, soft serve, vanilla",24.2,4.0,5.6,163.2
85,"Frozen yogurt, soft serve, chocolate",24.87,4.31,5.76,168.56
86,Frozen yogurt sandwich,34.38,3.9,6.25,209.37
87,"Frozen yogurt bar, vanilla",21.6,3.0,3.6,130.8
88,"Frozen yogurt bar, chocolate",21.6,3.0,3.6,130.8
89,"Frozen yogurt cone, chocolate",23.9,3.2,3.73,141.97
90,"Frozen yogurt cone, vanilla",23.9,3.2,3.73,141.97
91,"Frozen yogurt cone, vanilla, waffle cone",25.28,3.29,3.61,146.77
92,"Frozen yogurt cone, chocolate, waffle cone",25.28,3.29,3.61,146.77
93,"Yogurt, whole milk, baby food",4.66,3.47,3.25,61.77
94,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS",13.22,3.4,3.53,98.25
95,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",13.0,3.05,3.08,91.92
96,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA",13.22,3.4,3.53,98.25
97,"Chocolate milk, NFS",13.46,3.39,0.0,67.4
98,"Chocolate milk, ready to drink, whole",10.34,3.17,3.39,84.55
99,"Chocolate milk, ready to drink, reduced fat",12.13,2.99,1.9,77.58
100,"Chocolate milk, ready to drink, fat free",13.46,3.39,0.0,67.4
101,"Chocolate milk, ready to drink, low fat",10.15,3.46,1.11,64.43
102,"Chocolate milk, ready to drink, reduced sugar, NS as to milk",7.68,3.43,1.04,53.8
103,"Chocolate milk, ready to drink, low fat (Nesquik)",10.15,3.46,1.11,64.43
104,"Chocolate milk, ready to drink, fat free (Nesquik)",13.46,3.39,0.0,67.4
105,"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",10.15,3.46,1.11,64.43
106,"Hot chocolate / Cocoa, ready to drink",16.54,2.72,1.54,90.9
107,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",16.52,2.79,0.06,77.78
108,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",16.68,1.21,0.98,80.38
109,"Hot chocolate / Cocoa, ready to drink, with whipped cream",15.89,2.73,3.18,103.1
110,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream",15.87,2.79,1.77,90.57
111,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream",16.02,1.29,2.64,93.0
112,"Chocolate milk, made from dry mix, NS as to type of milk",10.13,3.41,2.01,72.25
113,"Chocolate milk, made from dry mix with whole milk",9.94,3.36,3.14,81.46
114,"Chocolate milk, made from dry mix with reduced fat milk",10.16,3.42,1.92,71.6
115,"Chocolate milk, made from dry mix with low fat milk",10.43,3.45,1.03,64.79
116,"Chocolate milk, made from dry mix with fat free milk",10.14,3.5,0.22,56.54
117,"Chocolate milk, made from dry mix with non-dairy milk",10.32,1.68,1.27,59.43
118,"Chocolate milk, made from reduced sugar mix, NS as to type of milk",7.61,3.59,2.1,63.7
119,"Chocolate milk, made from reduced sugar mix with whole milk",7.42,3.53,3.26,73.14
120,"Chocolate milk, made from reduced sugar mix with reduced fat milk",7.64,3.6,2.01,63.05
121,"Chocolate milk, made from reduced sugar mix with low fat milk",7.91,3.63,1.1,56.06
122,"Chocolate milk, made from reduced sugar mix with fat free milk",7.63,3.67,0.27,47.63
123,"Chocolate milk, made from reduced sugar mix with non-dairy milk",7.81,1.82,1.34,50.58
124,"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)",10.13,3.41,2.01,72.25
125,"Chocolate milk, made from dry mix with whole milk (Nesquik)",9.94,3.36,3.14,81.46
126,"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)",10.16,3.42,1.92,71.6
127,"Chocolate milk, made from dry mix with low fat milk (Nesquik)",10.43,3.45,1.03,64.79
128,"Chocolate milk, made from dry mix with fat free milk (Nesquik)",10.14,3.5,0.22,56.54
129,"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",10.32,1.68,1.27,59.43
130,"Chocolate milk, made from no sugar added dry mix, NS as to type of milk (Nesquik)",7.61,3.59,2.1,63.7
131,"Chocolate milk, made from no sugar added dry mix with whole milk (Nesquik)",7.42,3.53,3.26,73.14
132,"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)",7.64,3.6,2.01,63.05
133,"Chocolate milk, made from no sugar added dry mix with low fat milk (Nesquik)",7.91,3.63,1.1,56.06
134,"Chocolate milk, made from no sugar added dry mix with fat free milk  (Nesquik)",7.63,3.67,0.27,47.63
135,"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",7.81,1.82,1.34,50.58
136,"Chocolate milk, made from syrup, NS as to type of milk",13.18,2.89,1.73,79.85
137,"Chocolate milk, made from syrup with whole milk",13.0,2.84,2.77,88.29
138,"Chocolate milk, made from syrup with reduced fat milk",13.21,2.9,1.65,79.29
139,"Chocolate milk, made from syrup with low fat milk",13.45,2.93,0.82,72.9
140,"Chocolate milk, made from syrup with fat free milk",13.19,2.97,0.07,65.27
141,"Chocolate milk, made from syrup with non-dairy milk",13.36,1.29,1.04,67.96
142,"Chocolate milk, made from light syrup, NS as to type of milk",8.6,3.1,1.86,63.54
143,"Chocolate milk, made from light syrup with whole milk",8.42,3.04,2.92,72.12
144,"Chocolate milk, made from light syrup with reduced fat milk",8.63,3.1,1.78,62.94
145,"Chocolate milk, made from light syrup with low fat milk",8.87,3.13,0.95,56.55
146,"Chocolate milk, made from light syrup with fat free milk",8.61,3.18,0.19,48.87
147,"Chocolate milk, made from light syrup with non-dairy milk",8.78,1.48,1.17,51.57
148,"Chocolate milk, made from sugar free syrup, NS as to type of milk",6.04,3.28,2.0,55.28
149,"Chocolate milk, made from sugar free syrup with whole milk",5.87,3.23,3.05,63.85
150,"Chocolate milk, made from sugar free syrup with reduced fat milk",6.08,3.29,1.92,54.76
151,"Chocolate milk, made from sugar free syrup with low fat milk",6.32,3.32,1.08,48.28
152,"Chocolate milk, made from sugar free syrup with fat free milk",6.06,3.36,0.32,40.56
153,"Chocolate milk, made from sugar free syrup with non-dairy milk",6.22,1.66,1.31,43.31
154,"Hot chocolate / Cocoa, made with dry mix and water",11.4,0.91,0.55,54.19
155,"Hot chocolate / Cocoa, made with dry mix and whole milk",15.16,3.73,3.31,105.35
156,"Hot chocolate / Cocoa, made with dry mix and reduced fat milk",15.37,3.79,2.18,96.26
157,"Hot chocolate / Cocoa, made with dry mix and low fat milk",15.61,3.82,1.36,89.96
158,"Hot chocolate / Cocoa, made with dry mix and fat free milk",15.35,3.86,0.6,82.24
159,"Hot chocolate / Cocoa, made with dry mix and non-dairy milk",15.47,2.18,1.57,84.73
160,"Hot chocolate / Cocoa, made with no sugar added dry mix and water",5.94,1.28,0.25,31.13
161,"Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk",10.08,4.26,3.18,85.98
162,"Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk",10.3,4.33,1.99,76.43
163,"Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk",10.56,4.35,1.12,69.72
164,"Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk",10.28,4.4,0.32,61.6
165,"Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk",10.43,2.61,1.35,64.31
166,"Strawberry milk, NFS",5.35,3.33,1.9,51.82
167,"Strawberry milk, whole",11.82,3.04,2.97,86.17
168,"Strawberry milk, reduced fat",10.71,3.15,1.8,71.64
169,"Strawberry milk, low fat",12.3,3.13,0.89,69.73
170,"Strawberry milk, fat free",12.03,3.18,0.09,61.65
171,"Strawberry milk, reduced sugar",7.08,3.31,0.94,50.02
172,"Strawberry milk, non-dairy",12.2,1.39,1.13,64.53
173,"Milk, malted",8.67,3.2,1.91,64.67
174,Eggnog,8.05,4.55,4.19,88.11
175,"Milk shake, home recipe, chocolate",13.55,3.48,6.14,123.38
176,"Milk shake, home recipe, flavors other than chocolate",11.41,3.36,5.98,112.9
177,"Milk shake, home recipe, chocolate, light",12.93,3.99,3.31,97.47
178,"Milk shake, home recipe, flavors other than chocolate, light",13.84,3.88,2.33,91.85
179,Milk shake with malt,13.66,3.77,6.11,124.71
180,"Milk shake, fast food, chocolate",20.36,3.7,6.66,156.18
181,"Milk shake, fast food, flavors other than chocolate",19.59,3.37,6.52,150.52
182,"Milk shake, bottled, chocolate",20.36,3.7,6.66,156.18
183,"Milk shake, bottled, flavors other than chocolate",19.59,3.37,6.52,150.52
184,Licuado or Batido,13.1,2.4,1.38,74.42
185,"Fruit smoothie, NFS",11.65,2.4,1.07,65.83
186,"Fruit smoothie, with whole fruit and dairy",11.66,2.4,1.07,65.87
187,"Fruit smoothie, with whole fruit and dairy, added protein",9.71,7.38,1.21,79.25
188,"Fruit smoothie juice drink, with dairy",15.05,0.86,0.14,64.9
189,Chocolate milk drink,10.68,0.64,0.4,48.88
190,"Infant formula, NFS",7.12,1.38,3.56,66.04
191,"Infant formula, NS as to form (Similac Expert Care Alimentum)",6.77,1.8,3.63,66.95
192,"Infant formula, ready-to-feed (Similac Expert Care Alimentum)",6.77,1.8,3.63,66.95
193,"Infant formula, powder, made with water, NFS (Similac Expert Care Alimentum)",6.77,1.8,3.63,66.95
194,"Infant formula, powder, made with tap water (Similac Expert Care Alimentum)",6.77,1.8,3.63,66.95
195,"Infant formula, powder, made with plain bottled water (Similac Expert Care Alimentum)",6.77,1.8,3.63,66.95
196,"Infant formula, powder, made with baby water (Similac Expert Care Alimentum)",6.77,1.8,3.63,66.95
197,"Infant formula, NS as to form (Similac Advance)",6.87,1.37,3.62,65.54
198,"Infant formula, ready-to-feed (Similac Advance)",6.87,1.37,3.62,65.54
199,"Infant formula, liquid concentrate, made with water, NFS (Similac Advance)",6.87,1.37,3.62,65.54
200,"Infant formula, powder, made with water, NFS (Similac Advance)",6.87,1.37,3.62,65.54
201,"Infant formula, liquid concentrate, made with tap water (Similac Advance)",6.87,1.37,3.62,65.54
202,"Infant formula, liquid concentrate, made with plain bottled water (Similac Advance)",6.87,1.37,3.62,65.54
203,"Infant formula, liquid concentrate, made with baby water (Similac Advance)",6.87,1.37,3.62,65.54
204,"Infant formula, powder, made with tap water (Similac Advance)",6.87,1.37,3.62,65.54
205,"Infant formula, powder, made with plain bottled water (Similac Advance)",6.87,1.37,3.62,65.54
206,"Infant formula, powder, made with baby water (Similac Advance)",6.87,1.37,3.62,65.54
207,"Infant formula, NS as to form (Similac Advance Organic)",6.87,1.37,3.62,65.54
208,"Infant formula, ready-to-feed (Similac Advance Organic)",6.87,1.37,3.62,65.54
209,"Infant formula, powder, made with water, NFS (Similac Advance Organic)",6.87,1.37,3.62,65.54
210,"Infant formula, powder, made with tap water (Similac Advance Organic)",6.87,1.37,3.62,65.54
211,"Infant formula, powder, made with plain bottled water (Similac Advance Organic)",6.87,1.37,3.62,65.54
212,"Infant formula, powder, made with baby water (Similac Advance Organic)",6.87,1.37,3.62,65.54
213,"Infant formula, NS as to form (Similac Sensitive)",6.99,1.4,3.53,65.33
214,"Infant formula, ready-to-feed (Similac Sensitive)",6.99,1.4,3.53,65.33
215,"Infant formula, liquid concentrate, made with water, NFS (Similac Sensitive)",6.99,1.4,3.53,65.33
216,"Infant formula, powder, made with water, NFS (Similac Sensitive)",6.99,1.4,3.53,65.33
217,"Infant formula, liquid concentrate, made with tap water (Similac Sensitive)",6.99,1.4,3.53,65.33
218,"Infant formula, liquid concentrate, made with plain bottled water (Similac Sensitive)",6.99,1.4,3.53,65.33
219,"Infant formula, liquid concentrate, made with baby water (Similac Sensitive)",6.99,1.4,3.53,65.33
220,"Infant formula, powder, made with tap water (Similac Sensitive)",6.99,1.4,3.53,65.33
221,"Infant formula, powder, made with plain bottled water (Similac Sensitive)",6.99,1.4,3.53,65.33
222,"Infant formula, powder, made with baby water (Similac Sensitive)",6.99,1.4,3.53,65.33
223,"Infant formula, NS as to form (Similac for Spit-Up)",6.9,1.38,3.48,64.44
224,"Infant formula, ready-to-feed (Similac for Spit-Up)",6.9,1.38,3.48,64.44
225,"Infant formula, powder, made with water, NFS (Similac for Spit-Up)",6.9,1.38,3.48,64.44
226,"Infant formula, NS as to form (Similac Expert Care NeoSure)",7.22,2.01,3.95,72.47
227,"Infant formula, ready-to-feed (Similac Expert Care NeoSure)",7.22,2.01,3.95,72.47
228,"Infant formula, powder, made with water, NFS (Similac Expert Care NeoSure)",7.22,2.01,3.95,72.47
229,"Infant formula, powder, made with tap water (Similac Expert Care NeoSure)",7.22,2.01,3.95,72.47
230,"Infant formula, powder, made with plain bottled water (Similac Expert Care NeoSure)",7.22,2.01,3.95,72.47
231,"Infant formula, powder, made with baby water (Similac Expert Care NeoSure)",7.22,2.01,3.95,72.47
232,"Infant formula, NS as to form (Similac Go and Grow)",6.73,1.98,3.56,66.88
233,"Infant formula, powder, made with water, NFS (Similac Go and Grow)",6.73,1.98,3.56,66.88
234,"Infant formula, NS as to form (Enfamil Newborn)",7.39,1.38,3.48,66.4
235,"Infant formula, ready-to-feed (Enfamil Newborn)",7.39,1.38,3.48,66.4
236,"Infant formula, powder, made with water, NFS (Enfamil Newborn)",7.39,1.38,3.48,66.4
237,"Infant formula, powder, made with tap water (Enfamil Newborn)",7.39,1.38,3.48,66.4
238,"Infant formula, powder, made with plain bottled water (Enfamil Newborn)",7.39,1.38,3.48,66.4
239,"Infant formula, powder, made with baby water (Enfamil Newborn)",7.39,1.38,3.48,66.4
240,"Infant formula, NS as to form (Enfamil Infant)",7.38,1.4,3.49,66.53
241,"Infant formula, ready-to-feed (Enfamil Infant)",7.38,1.4,3.49,66.53
242,"Infant formula, liquid concentrate, made with water, NFS (Enfamil Infant)",7.38,1.4,3.49,66.53
243,"Infant formula, liquid concentrate, made with tap water (Enfamil Infant)",7.38,1.4,3.49,66.53
244,"Infant formula, liquid concentrate, made with plain bottled water (Enfamil Infant)",7.38,1.4,3.49,66.53
245,"Infant formula, liquid concentrate, made with baby water (Enfamil Infant)",7.38,1.4,3.49,66.53
246,"Infant formula, powder, made with water, NFS (Enfamil Infant)",7.38,1.4,3.49,66.53
247,"Infant formula, powder, made with tap water (Enfamil Infant)",7.38,1.4,3.49,66.53
248,"Infant formula, powder, made with plain bottled water (Enfamil Infant)",7.38,1.4,3.49,66.53
249,"Infant formula, powder, made with baby water (Enfamil Infant)",7.38,1.4,3.49,66.53
250,"Infant formula, NS as to form (Enfamil A.R.)",7.43,1.6,3.24,65.28
251,"Infant formula, ready-to-feed (Enfamil A.R.)",7.43,1.6,3.24,65.28
252,"Infant formula, powder, made with water, NFS (Enfamil A.R.)",7.43,1.6,3.24,65.28
253,"Infant formula, powder, made with tap water (Enfamil A.R.)",7.43,1.6,3.24,65.28
254,"Infant formula, NS as to form (Enfamil EnfaCare)",7.4,2.0,3.8,71.8
255,"Infant formula, ready-to-feed (Enfamil EnfaCare)",7.4,2.0,3.8,71.8
256,"Infant formula, powder, made with water, NFS (Enfamil EnfaCare)",7.4,2.0,3.8,71.8
257,"Infant formula, powder, made with plain bottled water (Enfamil A.R.)",7.43,1.6,3.24,65.28
258,"Infant formula, powder, made with baby water (Enfamil A.R.)",7.43,1.6,3.24,65.28
259,"Infant formula, NS as to form (Enfamil Gentlease)",7.25,1.53,3.49,66.53
260,"Infant formula, ready-to-feed (Enfamil Gentlease)",7.25,1.53,3.49,66.53
261,"Infant formula, powder, made with water, NFS (Enfamil Gentlease)",7.25,1.53,3.49,66.53
262,"Infant formula, powder, made with tap water (Enfamil EnfaCare)",7.4,2.0,3.8,71.8
263,"Infant formula, powder, made with plain bottled water (Enfamil EnfaCare)",7.4,2.0,3.8,71.8
264,"Infant formula, powder, made with baby water (Enfamil EnfaCare)",7.4,2.0,3.8,71.8
265,"Infant formula, powder, made with tap water (Enfamil Gentlease)",7.25,1.53,3.49,66.53
266,"Infant formula, powder, made with plain bottled water (Enfamil Gentlease)",7.25,1.53,3.49,66.53
267,"Infant formula, powder, made with baby water (Enfamil Gentlease)",7.25,1.53,3.49,66.53
268,"Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions)",7.4,1.72,3.55,68.43
269,"Infant formula, ready-to-feed (Enfamil Enfragrow Toddler Transitions)",7.4,1.72,3.55,68.43
270,"Infant formula, powder, made with water, NFS (Enfamil Enfragrow Toddler Transitions)",13.06,3.03,6.27,120.79
271,"Infant formula, powder, made with tap water (Enfamil Enfagrow Toddler Transitions)",7.4,1.72,3.55,68.43
272,"Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions)",7.4,1.72,3.55,68.43
273,"Infant formula, powder, made with baby water (Enfamil Enfagrow Toddler Transitions)",7.4,1.72,3.55,68.43
274,"Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions Gentlease)",6.87,1.7,3.43,65.15
275,"Infant formula, powder, made with water, NFS (Enfamil Enfagrow Toddler Transitions Gentlease)",6.87,1.7,3.43,65.15
276,"Infant formula, powder, made with tap water (Enfamil Enfagrow Toddler Transitions Gentlease)",6.87,1.7,3.43,65.15
277,"Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions Gentlease)",6.87,1.7,3.43,65.15
278,"Infant formula, powder, made with baby water (Enfamil Enfagrow Toddler Transitions Gentlease)",6.87,1.7,3.43,65.15
279,"Infant formula, NS as to form (PediaSure)",11.15,2.86,4.77,98.97
280,"Infant formula, ready-to-feed (PediaSure)",11.15,2.86,4.77,98.97
281,"Infant formula, with fiber, NS as to form (PediaSure Fiber)",11.28,2.8,4.7,98.62
282,"Infant formula, with fiber, ready-to-feed (PediaSure Fiber)",11.28,2.8,4.7,98.62
283,"Infant formula, NS as to form (Gerber Good Start Gentle)",7.45,1.48,3.41,66.41
284,"Infant formula, ready-to-feed (Gerber Good Start Gentle)",7.45,1.48,3.41,66.41
285,"Infant formula, liquid concentrate, made with water, NFS (Gerber Good Start Gentle)",7.45,1.48,3.41,66.41
286,"Infant formula, powder, made with water, NFS (Gerber Good Start Gentle)",7.45,1.48,3.41,66.41
287,"Infant formula, liquid concentrate, made with tap water (Gerber Good Start Gentle)",7.45,1.48,3.41,66.41
288,"Infant formula, liquid concentrate, made with plain bottled water (Gerber Good Start Gentle)",7.45,1.48,3.41,66.41
289,"Infant formula, liquid concentrate, made with baby water (Gerber Good Start Gentle)",7.45,1.48,3.41,66.41
290,"Infant formula, powder, made with tap water (Gerber Good Start Gentle)",7.45,1.48,3.41,66.41
291,"Infant formula, powder, made with plain bottled water (Gerber Good Start Gentle)",7.45,1.48,3.41,66.41
292,"Infant formula, powder, made with baby water (Gerber Good Start Gentle)",7.45,1.48,3.41,66.41
293,"Infant formula, NS as to form (Gerber Good Start Protect)",7.45,1.48,3.41,66.41
294,"Infant formula, powder, made with water, NFS (Gerber Good Start Protect)",7.45,1.48,3.41,66.41
295,"Infant formula, powder, made with tap water (Gerber Good Start Protect)",7.45,1.48,3.41,66.41
296,"Infant formula, powder, made with plain bottled water (Gerber Good Start Protect)",7.45,1.48,3.41,66.41
297,"Infant formula, powder, made with baby water (Gerber Good Start Protect)",7.45,1.48,3.41,66.41
298,"Infant formula, NS as to form (Gerber Graduates Gentle)",7.46,1.41,3.28,65.0
299,"Infant formula, NS as to form (Gerber Graduates Protect)",7.46,1.41,3.28,65.0
300,"Infant formula, NS as to form (Store Brand)",7.12,1.38,3.56,66.04
301,"Infant formula, liquid concentrate, made with water, NFS (Store Brand)",7.12,1.38,3.56,66.04
302,"Infant formula, powder, made with water, NFS (Store Brand)",7.12,1.38,3.56,66.04
303,"Infant formula, ready-to-feed (Store Brand)",7.12,1.38,3.56,66.04
304,"Infant formula, liquid concentrate, made with tap water (Store Brand)",7.12,1.38,3.56,66.04
305,"Infant formula, liquid concentrate, made with plain bottled water (Store Brand)",7.12,1.38,3.56,66.04
306,"Infant formula, liquid concentrate, made with baby water (Store Brand)",7.12,1.38,3.56,66.04
307,"Infant formula, powder, made with tap water (Store Brand)",7.12,1.38,3.56,66.04
308,"Infant formula, powder, made with plain bottled water (Store Brand)",7.12,1.38,3.56,66.04
309,"Infant formula, powder, made with baby water (Store Brand)",7.12,1.38,3.56,66.04
310,"Infant formula, NS as to form (Enfamil ProSobee)",6.86,1.62,3.49,65.33
311,"Infant formula, ready-to-feed (Enfamil ProSobee)",6.86,1.62,3.49,65.33
312,"Infant formula, liquid concentrate, made with water, NFS (Enfamil ProSobee)",6.86,1.62,3.49,65.33
313,"Infant formula, powder, made with water, NFS (Enfamil ProSobee)",6.86,1.62,3.49,65.33
314,"Infant formula, liquid concentrate, made with tap water (Enfamil ProSobee)",6.86,1.62,3.49,65.33
315,"Infant formula, liquid concentrate, made with plain bottled water (Enfamil ProSobee)",6.86,1.62,3.49,65.33
316,"Infant formula, liquid concentrate, made with baby water (Enfamil ProSobee)",6.86,1.62,3.49,65.33
317,"Infant formula, powder, made with tap water (Enfamil ProSobee)",6.86,1.62,3.49,65.33
318,"Infant formula, powder, made with plain bottled water (Enfamil ProSobee)",6.86,1.62,3.49,65.33
319,"Infant formula, powder, made with baby water (Enfamil ProSobee)",6.86,1.62,3.49,65.33
320,"Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions Soy)",7.4,2.07,2.77,62.81
321,"Infant formula, powder, made with water, NFS (Enfamil Enfagrow Toddler Transitions Soy)",7.4,2.07,2.77,62.81
322,"Infant formula, NS as to form (Similac Isomil Soy)",6.73,1.58,3.53,65.01
323,"Infant formula, ready-to-feed (Similac Isomil Soy)",6.73,1.58,3.53,65.01
324,"Infant formula, liquid concentrate, made with water, NFS (Similac Isomil Soy)",6.73,1.58,3.53,65.01
325,"Infant formula, powder, made with water, NFS (Similac Isomil Soy)",6.73,1.58,3.53,65.01
326,"Infant formula, liquid concentrate, made with tap water (Similac Isomil Soy)",6.73,1.58,3.53,65.01
327,"Infant formula, liquid concentrate, made with plain bottled water (Similac Isomil Soy)",6.73,1.58,3.53,65.01
