,Сливочное масло с солью,717,0.85,81.11,0.06
61,"Заменитель сливок, порошкообразный",529,2.48,32.92,59.29
62,Сахарная пудра для посыпки десерта,577,4.9,39.92,52.54
63,"Сухая начинка для десерта, 1,5 унции, приготовленная с 1/2 стакана молока",194,3.61,12.72,17.13
64,Десертная начинка под давлением,264,0.98,22.3,16.07
65,"Десертная начинка, полутвердая, замороженная",318,1.25,25.31,23.05
66,"Сметана искусственная, культивированная",208,2.4,19.52,6.63
67,Жидкие заменители молока с маслом лауриновой кислоты,61,1.75,3.41,6.16
68,"Молоко цельное, 3,25% молочного жира, с добавлением витамина d",61,3.15,3.25,4.8
69,"Молоко, производитель, жидкое, 3,7% молочного жира",64,3.28,3.66,4.65
70,"Молоко с пониженным содержанием жира, жидкое, 2%-ный молочный жир, с добавлением витамина А и витамина d",50,3.3,1.98,4.8
71,"Молоко с пониженным содержанием жира, жидкое, 2% молочного жира, с добавлением сухого обезжиренного молока, витамина А и витамина d",51,3.48,1.92,4.97
72,"Молоко с пониженным содержанием жира, жидкое, 2% молочного жира, обогащенное белком, с добавлением витаминов А и d",56,3.95,1.98,5.49
73,"Молоко нежирное, жидкое, с содержанием 1% молочного жира, с добавлением витамина А и витамина d",42,3.37,0.97,4.99
74,"Молоко обезжиренное, жидкое, 1%-ный уровень молочного жира, с добавлением сухого обезжиренного молока, витамин а/д",43,3.48,0.97,4.97
75,"Молоко нежирное, жидкое, с содержанием 1% молочного жира, обогащенное белком, с добавлением витаминов А и d",48,3.93,1.17,5.52
76,"Молоко обезжиренное, жидкое, с добавлением витамина А и витамина d (обезжиренное или обезжиренное)",34,3.37,0.08,4.96
77,"Молоко обезжиренное, жидкое, с добавлением сухого обезжиренного молока, витамина А и витамина d",37,3.57,0.25,5.02
78,"Молоко обезжиренное, жидкое, обогащенное белком, с добавлением витаминов А и d (обезжиренное/обезжиренное)",41,3.96,0.25,5.56
79,"Молоко, пахта жидкая, кисломолочная, с низким содержанием жира",40,3.31,0.88,4.79
80,"Молоко с низким содержанием натрия, жидкое",61,3.1,3.46,4.46
81,"Молоко сухое, цельное, с добавлением витамина d",496,26.32,26.71,38.42
82,"Молоко сухое, обезжиренное, обычное, без добавления витамина А и витамина d",362,36.16,0.77,51.98
83,"Молоко сухое, обезжиренное, быстрорастворимого приготовления с добавлением витамина А и витамина d",358,35.1,0.72,52.19
84,"Молоко сухое, обезжиренное, с пониженным содержанием кальция",354,35.5,0.2,51.8
85,"Молоко, пахта сухая",387,34.3,5.78,49.0
86,"Молоко консервированное, сгущенное, подслащенное",321,7.91,8.7,54.4
87,"Молоко консервированное, сгущенное, с добавлением витамина d и без добавления витамина А.",134,6.81,7.56,10.04
88,"Молоко консервированное сгущенное, обезжиренное, с добавлением витамина А и витамина d",78,7.55,0.2,11.35
89,"Молоко, шоколад, жидкий, коммерческий, цельный, с добавлением витамина А и витамина d",83,3.17,3.39,10.34
90,"Молоко, шоколад, жидкий, коммерческий, с пониженным содержанием жира",76,2.99,1.9,12.13
91,"Молоко, шоколад с низким содержанием жира, с добавлением витамина А и витамина d",62,3.46,1.0,9.86
92,"Молоко, шоколадный напиток, горячее какао, домашнее",77,3.52,2.34,10.74
93,"Молоко козье, жидкое, с добавлением витамина d",69,3.56,4.14,4.45
94,"Молоко человеческое, зрелое, жидкое",70,1.03,4.38,6.89
95,"Молоко, индийский буйволиный корм, жидкость",97,3.75,6.89,5.18
96,"Молоко, овечье, жидкое",108,5.98,7.0,5.36
97,Молочные коктейли с густым шоколадом,119,3.05,2.7,21.15
98,Молочные коктейли с густой ванилью,112,3.86,3.03,17.75
99,"Сыворотка, кислота, жидкость",24,0.76,0.09,5.12
100,"Сыворотка кислая, сухая",339,11.73,0.54,73.45
101,"Молочная сыворотка, сладкая, жидкая",27,0.85,0.36,5.14
102,"Сыворотка сладкая, сушеная",353,12.93,1.07,74.46
103,"Йогурт простой, из цельного молока, 8 граммов белка на 8 унций",61,3.47,3.25,4.66
104,"Йогурт простой, с низким содержанием жира, 12 граммов белка на 8 унций",63,5.25,1.55,7.04
105,"Йогурт, простое обезжиренное молоко, 13 граммов белка на 8 унций",56,5.73,0.18,7.68
106,"Йогурт, ваниль, с низким содержанием жира, 11 граммов белка на 8 унций",85,4.93,1.25,13.8
107,"Йогурт, фруктовый, с низким содержанием жира, 9 граммов белка на 8 унций",99,3.98,1.15,18.64
108,"Йогурт, фруктовый, с низким содержанием жира, 10 граммов белка на 8 унций",102,4.37,1.08,19.05
109,"Йогурт, фруктовый, с низким содержанием жира, 11 граммов белка на 8 унций",105,4.86,1.41,18.6
110,"Яйцо цельное, сырое, свежее",143,12.56,9.51,0.72
111,"Яйцо, белок, сырое, свежее",52,10.9,0.17,0.73
112,"Яйцо, желток, сырое, свежее",322,15.86,26.54,3.59
113,"Яйцо, желток, сырое, замороженное, пастеризованное",296,15.53,25.6,0.81
114,"Яйцо, желток, сырой, замороженный, засахаренный, пастеризованный",307,13.87,22.82,10.95
115,"Яйцо цельное, вареное, жареное",196,13.61,14.84,0.83
116,"Яйцо цельное, сваренное вкрутую",155,12.58,10.61,1.12
117,"Яйцо, цельное, вареное, омлет",154,10.57,11.66,0.64
118,"Яйцо цельное, вареное, пашот",143,12.51,9.47,0.71
119,"Яйцо цельное, вареное, омлет",149,9.99,10.98,1.61
120,"Яйцо цельное, сушеное",592,48.05,43.9,1.13
121,"Яйцо цельное, сушеное, стабилизированное, с пониженным содержанием глюкозы",615,48.17,43.95,2.38
122,"Яйцо, белок, сушеный, хлопья, стабилизированные, с пониженным содержанием глюкозы",351,76.92,0.04,4.17
123,"Яйцо, белок, сушеный, порошкообразный, стабилизированный, с пониженным содержанием глюкозы",376,82.4,0.04,4.47
124,"Яйцо, желток сушеный",669,33.63,59.13,0.66
125,"Яйцо утиное, цельное, свежее, сырое",185,12.81,13.77,1.45
126,"Яйцо гусиное, цельное, свежее, сырое",185,13.87,13.27,1.35
127,"Яйцо перепелиное, цельное, свежее, сырое",158,13.05,11.09,0.41
128,"Яйцо, индейка, цельное, свежее, сырое",171,13.68,11.88,1.15
129,Заменитель яиц в порошке,444,55.5,13.0,21.8
130,Сливочное масло без соли,717,0.85,81.11,0.06
131,Тертый сыр с пармезаном,415,37.86,27.34,3.41
132,"Молоко обезжиренное, жидкое, без добавления витамина А и витамина d (обезжиренное или обезжиренное)",34,3.37,0.08,4.96
133,"Молоко с пониженным содержанием жира, жидкое, 2% молочного жира, с сухим обезжиренным молоком, без витамина А",56,3.95,1.98,5.49
134,Молоко консервированное сгущенное с витамином А,134,6.81,7.56,10.04
135,"Молоко сухое, обезжиренное, обычное, с добавлением витамина А и витамина d",362,36.16,0.77,51.98
136,"Молоко сухое, обезжиренное, быстрорастворимого приготовления, без добавления витамина А и витамина d",358,35.1,0.72,52.19
137,"Сыр козий, твердый",452,30.52,35.59,2.17
138,"Сыр козий, полусухой",364,21.58,29.84,0.12
139,"Сыр козий, мягкий",264,18.52,21.08,0.0
140,"Яйцо, желток, сырое, замороженное, соленое, пастеризованное",275,14.07,22.93,1.77
141,"Заменитель сыра, моцарелла",248,11.47,12.22,23.67
142,"Сырный соус, приготовленный по рецепту",197,10.33,14.92,5.48
143,"Сыр по-мексикански, queso anejo",373,21.44,29.98,4.63
144,Сыр кесо асадеро по-мексикански,356,22.6,28.26,2.87
145,Сыр кесо чихуахуа по-мексикански,374,21.56,29.68,5.56
146,"Сыр нежирный, чеддер или колби",173,24.35,7.0,1.91
147,"Сыр с низким содержанием натрия, чеддер или колби",398,24.35,32.62,1.91
148,"Яйцо цельное, сырое, замороженное, пастеризованное",147,12.33,9.95,1.01
149,"Яйцо белое, сырое, замороженное, пастеризованное",48,10.2,0.0,1.04
150,Яйцо белое сушеное,382,81.1,0.0,7.8
151,"Молоко с пониженным содержанием жира, жидкое, 2% молочного жира, без добавления витамина А и витамина d",50,3.3,1.98,4.8
152,"Молоко жидкое, 1% жирности, без добавления витамина А и витамина d",42,3.37,0.97,4.99
153,Сметана с пониженным содержанием жира,181,7.0,14.1,7.0
154,Легкий сметанный крем,136,3.5,10.6,7.1
155,Сметана обезжиренная,74,3.1,0.0,15.6
156,"Сырье Министерства сельского хозяйства США, сыр, чеддер с пониженным содержанием жира",282,27.2,18.3,2.0
157,"Обезжиренное молоко со вкусом йогурта, вана или лема, подслащенное низкокалорийным подсластителем",43,3.86,0.18,7.5
158,Посыпка из обезжиренного сыра пармезан,370,40.0,5.0,40.0
159,"Сыр, сливки обезжиренные",105,15.69,1.0,7.66
160,"Йогурт, шоколад, обезжиренное молоко",112,3.53,0.0,23.53
161,Пастеризованный сырный соус Kraft cheez whiz,276,12.0,21.0,9.2
162,Легкий пастеризованный сырный продукт Kraft cheez whiz,215,16.3,9.5,16.2
163,Сырный продукт без крафта американский обезжиренный пастеризованный технологический сырный продукт,148,22.7,1.0,11.7
164,Пастеризованный сырный спред Kraft velveeta,303,16.3,22.0,9.8
165,Крафт-вельвета легкий пастеризованный сырный продукт с пониженным содержанием жира,222,19.6,10.6,11.8
166,Сметана с пониженным содержанием жира от Kraft breakstone,152,4.5,12.0,6.5
167,Обезжиренная сметана от Kraft breakstone,91,4.7,1.3,15.1
168,"Сливки, пополам, без жира",59,2.6,1.4,9.0
169,Взбитый топпинг Reddi wip без жира,149,3.0,5.0,25.0
170,"Молоко, шоколад, жидкий, коммерческий, с пониженным содержанием жира, с добавлением кальция",78,2.99,1.9,12.13
171,"Йогурт фруктовый, нежирный, с низкой калорийностью, калорийный подсластитель",105,4.86,1.41,18.6
172,"Сыр пармезан, сухой, натертый на терке, с пониженным содержанием жира",265,20.0,20.0,1.37
173,"Заменитель сливок, ароматизированный, жидкий",251,0.69,13.5,35.07
174,"Заменитель сливок, ароматизированный, порошкообразный",482,0.68,21.47,75.42
175,Сыр проволоне с пониженным содержанием жира,274,24.7,17.6,3.5
176,Сыр мексиканский блендерный с пониженным содержанием жира,282,24.69,19.4,3.41
177,"Яичная смесь, товар Министерства сельского хозяйства США",555,35.6,34.5,23.97
178,"Молоко цельное, 3,25% молочного жира, без добавления витамина А и витамина d",61,3.15,3.27,4.78
179,"Молоко сухое, цельное, без добавления витамина d",496,26.32,26.71,38.42
180,"Молоко консервированное, сгущенное, без добавления витамина А и витамина d",135,6.81,7.56,10.04
181,"Сырный продукт пастеризованного производства по-американски с пониженным содержанием жира, обогащенный витамином d",240,17.6,14.1,10.6
182,"Йогурт фруктовый, с низким содержанием жира, 9 граммов белка на 8 унций, обогащенный витамином d",99,3.98,1.15,18.64
183,"Йогурт фруктовый, с низким содержанием жира, 10 граммов белка на 8 унций, обогащенный витамином d",102,4.37,1.08,19.05
184,"Йогурт, фруктовый сорт, разновидности, нежирный, обогащенный витамином d",95,4.4,0.2,19.0
185,"Йогурт фруктовый, нежирный, с низкокалорийным подсластителем, обогащенный витамином d",105,4.86,1.41,18.6
186,"Йогурт с низким содержанием жира, ванили, 11 граммов белка на 8 унций, обогащенный витамином d",85,4.93,1.25,13.8
187,"Йогурт со вкусом ванили, обезжиренное молоко, с натуральным подсластителем, обогащенный витамином d",43,3.86,0.18,7.5
188,"Йогурт, шоколад, обезжиренное молоко, обогащенное витамином d",112,3.53,0.0,23.53
189,"Протеиновая добавка на основе молока, сухое мышечное молочко",411,45.71,17.14,18.5
190,"Протеиновая добавка на основе молока, muscle milk light, порошкообразная",396,50.0,12.0,22.0
191,Dulce de leche,315,6.84,7.35,55.35
192,"Заменитель яиц, жидкий или замороженный, без жира",48,10.0,0.0,2.0
193,Сыр белый сухой queso seco,325,24.51,24.35,2.04
194,"Сыр свежий, кесо фреско",299,18.09,23.82,2.98
195,Сыр белый кесо бланко,310,20.38,24.31,2.53
196,"Молоко, пахта, жидкое, цельное",62,3.21,3.31,4.88
197,"Йогурт со вкусом ванили, нежирное молоко, подслащенный низкокалорийным подсластителем",86,4.93,1.25,13.8
198,"Йогурт замороженный, со вкусом без шоколада, обезжиренное молоко, с низкокалорийным подсластителем",104,4.4,0.8,19.7
199,Мороженое мягкое для подачи с шоколадом,222,4.1,13.0,22.2
200,"Мороженое, батончик или палочка в шоколадной глазури",331,4.1,24.1,24.5
201,Сэндвич с мороженым,237,4.29,8.57,37.14
202,Сэндвич с печеньем - мороженым,240,3.7,7.4,39.6
203,"Рожок для мороженого, покрытый шоколадом, с орехами, со вкусом, отличным от шоколадного",354,5.21,21.88,34.38
204,"Сэндвич с мороженым, приготовленный из легкого ванильного мороженого",186,4.29,3.04,39.64
205,"Сэндвич с мороженым, ванильным, легким, без добавления сахара",200,5.71,2.86,42.86
206,"Мороженое обезжиренное, без добавления сахара, со вкусом, отличным от шоколадного",129,4.41,0.0,27.94
207,"Молочный десерт, десертный батончик, замороженный, приготовленный из нежирного молока",147,4.41,1.47,33.09
208,"Пищевая добавка для людей с сахарным диабетом, жидкая",88,4.4,3.08,11.88
209,"Сыр, мексиканская смесь",358,23.54,28.51,1.75
210,"Сырный продукт пастеризованный по-американски, обогащенный витамином d.",307,16.09,23.06,8.85
211,"Сыр американский, пастеризованный, без добавления витамина d",371,18.13,31.79,3.7
212,"Сыр пищевой, пастеризованный, американский, без добавления витамина d",330,16.86,25.63,8.56
213,"Яйцо цельное, сырое, замороженное, соленое, пастеризованное",138,10.97,10.07,0.83
214,"Йогурт греческий, простой, обезжиренный",59,10.19,0.39,3.6
215,"Яйцо белое сухое, стабилизированное, с пониженным содержанием глюкозы",357,84.08,0.32,4.51
216,Сырный спред на основе американского сыра или чеддера с пониженным содержанием жира,176,13.41,8.88,10.71
217,"Сыр, чеддер с пониженным содержанием жира",309,27.35,20.41,4.06
218,"Мороженое, легкое, мягкое для подачи, шоколадное",141,3.36,3.69,23.15
219,"Батончик мороженого, палочка или наггетсчик с хрустящей глазурью",358,2.11,25.26,37.12
220,"Сыр, чеддер обезжиренный или без жира",157,32.14,0.0,7.14
221,"Сыр швейцарский, обезжиренный или без жира",127,28.4,0.0,3.4
222,"Сыр по-мексикански, queso cotija",366,20.0,30.0,3.97
223,"Сыр чеддер острый, нарезанный ломтиками",410,24.25,33.82,2.13
224,"Сыр моцарелла с низким содержанием влаги, частично обезжиренный, тертый",304,23.63,19.72,8.06
225,"Йогурт греческий, обезжиренный, ванильный, чобани",71,9.07,0.22,8.09
226,"Йогурт греческий, клубничный, дэннон ойкос",106,8.25,2.92,11.67
227,"Йогурт греческий, обезжиренный, ванильный, дэннон ойкос",85,8.12,0.14,12.72
228,"Йогурт греческий, обезжиренный, клубничный, дэннон ойкос",84,8.03,0.22,12.53
229,"Йогурт греческий, обезжиренный, клубничный, чобани",80,8.03,0.12,11.62
230,"Йогурт греческий, клубничный, нежирный",103,8.17,2.57,11.89
231,"Йогурт греческий, клубничный, обезжиренный",82,8.05,0.15,12.07
232,"Йогурт греческий, ванильный, обезжиренный",78,8.64,0.18,10.37
233,"Йогурт греческий, простой, с низким содержанием жира",73,9.95,1.92,3.94
234,"Кефир нежирный, простой, lifeway",41,3.79,0.93,4.48
235,"Кефир нежирный, клубничный, lifeway",62,3.39,0.9,10.2
236,"Молоко консервированное, сгущенное, без витамина А",107,6.67,2.0,15.74
237,"Молоко, шоколад, без жира, с добавлением витамина А и витамина d",67,3.39,0.0,13.46
238,"Йогурт греческий, простой, из цельного молока",97,9.0,5.0,3.98
239,"Йогурт греческий, фрукты, цельное молоко",106,7.33,3.0,12.29
240,Йогурт ванильный обезжиренный,78,2.94,0.0,17.04
241,"Йогурт греческий, ванильный, нежирный",95,8.64,2.5,9.54
242,"Йогурт замороженный, со вкусом, отличным от шоколада, с низким содержанием жира",139,8.0,2.5,21.0
243,"Батончик мороженого, покрытый шоколадом и орехами",303,5.62,25.84,11.89
244,Рожок для мороженого с пломбиром,254,3.0,14.0,28.89
245,"Легкое мороженое, сливочное мороженое",165,1.54,3.08,32.75
246,"Сливки, пополам, с низким содержанием жира",72,3.33,5.0,3.33
247,"Молоко, шоколад с низким содержанием жира, пониженным содержанием сахара",54,3.43,1.04,7.68
248,"Мороженое нежирное, без добавления сахара, в виде рожка, с добавлением арахиса и шоколадного соуса",265,5.33,9.33,40.01
249,Молотый душистый перец,263,6.09,8.69,72.12
250,Семена аниса,337,17.6,15.9,50.02
251,"Специи, базилик сушеный",233,22.98,4.07,47.75
252,"Специи, лавровый лист",313,7.61,8.36,74.97
253,Семена тмина,333,19.77,14.59,49.9
254,"Специи, кардамон",311,10.76,6.7,68.47
255,Семена сельдерея,392,18.07,25.27,41.35
256,Кервель сушеный,237,23.2,3.9,49.1
257,Молотый перец чили,282,13.46,14.28,49.7
258,Молотая корица,247,3.99,1.24,80.59
259,Молотая гвоздика,274,5.97,13.0,65.53
260,Сушеный лист кориандра,279,21.93,4.78,52.1
261,Семена кориандра,298,12.37,17.77,54.99
262,Семена тмина,375,17.81,22.27,44.24
263,Порошок карри,325,14.29,14.01,55.83
264,Семена укропа,305,15.98,14.54,55.17
265,Сушеный укроп,253,19.96,4.36,55.82
266,Семена фенхеля,345,15.8,14.87,52.29
267,Семена пажитника,323,23.0,6.41,58.35
268,Чесночный порошок,331,16.55,0.73,72.73
269,Имбирь молотый,335,8.98,4.24,71.62
270,"Булава, молотая",475,6.71,32.38,50.5
271,Майоран сушеный,271,12.66,7.04,60.56
272,Молотые специи из семян горчицы,508,26.08,36.24,28.09
273,Мускатный орех молотый,525,5.84,36.31,49.29
274,Луковый порошок,341,10.41,1.04,79.12
275,Специи сушеные с орегано,265,9.0,4.28,68.92
276,Паприка,282,14.14,12.89,53.99
277,Сушеная петрушка,292,26.63,5.48,50.64
278,Перец черный молотый,251,10.39,3.26,63.95
279,Перец молотый или кайенский,318,12.01,17.27,56.63
280,Перец белый,296,10.4,2.12,68.61
281,Маковое семя,525,17.99,41.56,28.13
282,Приправа для домашней птицы,307,9.59,7.53,65.59
283,Специи для тыквенного пирога,342,5.76,12.6,69.28
284,Розмарин сушеный,331,4.88,15.22,64.06
285,Шафран,310,11.43,5.85,65.37
286,Шалфей молотый,315,10.63,12.75,60.73
287,"Пикантный, молотый",272,6.73,5.91,68.73
288,Специи сушеные с эстрагоном,295,22.77,7.24,50.22
289,"Специи, тимьян сушеный",276,9.11,7.43,63.94
290,Молотая куркума,312,9.68,3.25,67.14
291,Базилик свежий,23,3.15,0.64,2.65
292,"Зелень укропа, свежая",43,3.46,1.12,7.02
293,"Горчица готовая, желтая",60,3.74,3.34,5.83
294,Соль поваренная,0,0.0,0.0,0.0
295,"Уксус, сидр",21,0.0,0.0,0.93
296,Тимьян свежий,101,5.56,1.68,24.45
297,Ванильный экстракт,288,0.06,0.06,12.65
298,"Ванильный экстракт, имитация, спирт",237,0.05,0.0,2.41
299,"Ванильный экстракт, имитация, без алкоголя",56,0.03,0.0,14.4
300,Уксус дистиллированный,18,0.0,0.0,0.04
301,Консервированные каперсы,23,2.36,0.86,4.89
302,Приготовленный хрен,48,1.18,0.69,11.29
303,Розмарин свежий,131,3.31,5.86,20.7
304,Мята перечная свежая,70,3.75,0.94,14.89
305,Мята свежая,44,3.29,0.73,8.41
306,Мята сушеная,285,19.93,6.03,52.04
307,Винный уксус с пониженным содержанием сахара,19,0.04,0.0,0.27
308,Уксус бальзамический,88,0.49,0.0,17.03
309,"Пейс, сухая смесь для тако с морями",188,0.0,0.0,56.29
310,"Смесь сухих приправ, сазон, кориандр и аннато",0,0.0,0.0,0.0
311,"Смесь приправ, сухая, для тако, оригинальная",322,4.5,0.0,58.0
312,"Смесь приправ, сухая, чили, оригинальная",335,10.82,7.3,56.56
313,Клиф z- образный стержень,409,5.55,9.72,74.72
314,"Детское питание, соковые лакомства, фруктовое ассорти, малыш",347,0.0,0.02,86.68
315,"Детское питание, мясо, говядина процеженная",81,12.03,2.52,2.43
316,"Детское питание, мясо, говядина, юниорское",81,12.03,2.52,2.43
317,"Детское питание, мясо, телятина протертая",81,13.12,2.45,1.51
318,"Детское питание, мясо, свинина процеженная",124,14.0,7.1,0.0
319,"Детское питание, мясо, ветчина процеженные",97,11.3,3.8,3.7
320,"Детское питание, мясо, ветчина, для детей младшего возраста",97,11.3,3.8,3.7
321,"Детское питание, мясо, баранина в процеженном виде",87,14.07,3.41,0.85
322,"Детское питание, мясо, баранина, для детей младшего возраста",112,15.2,5.2,0.0
323,"Детское питание, мясо, курица, процеженное",130,13.7,7.9,0.1
324,"Детское питание, мясо, курица, для детей младшего возраста",146,14.0,9.6,0.0
325,"Детское питание, мясо, куриные палочки, детское питание",188,14.6,14.4,1.5
326,"Детское питание, мясо, индейка, процеженное",111,11.5,6.2,1.4
327,"Детское питание, мясо, индейка, для детей младшего возраста",111,11.5,6.2,1.4
328,"Детское питание, мясо, палочки из индейки, детское",188,13.7,14.2,1.4
329,"Детское питание, снеки, фруктовые полоски gerber graduate, настоящие фруктовые батончики",330,0.82,2.24,76.61
330,"Детское питание, мясо, мясные палочки, детское питание",184,13.4,14.6,1.1
331,"Детское питание, гербер, 2nd foods, яблоко, морковь и тыква, органическое",64,1.1,0.0,14.82
332,"Детское питание, легкие закуски, гербер, торты, слойки, яблоко и корица",389,6.19,2.3,85.79
333,"Детское питание, вода ""гербер"" в бутылках, без добавления фтора.",0,0.0,0.0,0.0
334,"Детское питание, гербер, 3rd foods, яблоко, манго и киви",53,0.47,0.0,12.88
335,"Детское питание, смесь из тропических фруктов",51,0.31,0.14,12.22
336,"Детское питание, ужин, овощное, пельмени с овощами и говядиной в процеженном виде",48,2.0,0.9,7.7
337,"Детское питание, ужин, овощное, овощи с клецками и говядиной, детское",48,2.1,0.8,8.0
338,"Детское питание, ужин, лазанья с говядиной, малыш",77,4.2,2.1,10.0
339,"Детское питание, ужин, макароны с помидорами и говядиной в процеженном виде",61,2.36,1.47,9.45
340,"Детское питание, ужин, макароны с помидорами и говядиной, детское",59,2.5,1.1,9.4
341,"Детское питание, равиоли с сырной начинкой и томатным соусом",99,3.6,2.2,16.3
342,"Детское питание, ужин, говяжья лапша в процеженном виде",63,2.44,2.26,8.18
343,"Детское питание, макароны с сыром, для малышей",82,3.5,2.6,11.2
344,"Детское питание, ужин, говядина с рисом, для малышей",82,5.0,2.9,8.8
345,"Детское питание, ужин, спагетти с помидорами и мясом, детское",68,2.57,1.37,11.42
346,"Детское питание, ужин, спагетти с помидорами и мясом, малыш",75,5.3,1.0,10.8
347,"Детское питание, ужин, тушеная говядина, малыш",51,5.1,1.2,5.5
348,"Детское питание, ужин, овощное, протертые овощи и говядина",77,2.21,3.6,8.84
349,"Детское питание, ужин, овощное, с овощами и говядиной, детское",77,2.21,3.6,8.84
350,"Детское питание, ужин, говядина с овощами, овощи",96,2.03,6.93,6.36
351,"Детское питание, ужин, овощное, овощи с беконом, протертые",69,1.92,2.95,8.81
352,"Детское питание, ужин, овощное, протертые овощи и ветчина",59,2.19,2.14,7.8
353,"Детское питание, ужин, овощное, с овощами и ветчиной, детское",60,2.02,1.89,8.64
354,"Детское питание, ужин, овощное, протертые овощи и баранина",52,2.0,2.0,6.9
355,"Детское питание, ужин, овощное, с овощами и бараниной, детское",51,2.1,1.7,7.1
356,"Детское питание, ужин, куриная лапша в процеженном виде",66,2.69,2.06,9.08
357,"Детское питание, ужин, куриная лапша, детское питание",55,2.37,1.18,8.79
358,"Детское питание, ужин, куриный суп, процеженный",50,1.6,1.7,7.2
359,Детское питание на ужин тушеная курица для малышей,78,5.2,3.7,6.4
360,"Детское питание, ужин, овощное, курица с овощами, протертая",59,2.47,1.73,8.42
361,"Детское питание, ужин, овощное, овощи с лапшой и курицей, протертые",63,2.0,2.5,7.9
362,"Детское питание, ужин, овощное, с лапшой и курицей, детское",64,1.7,2.2,9.1
